"Time","SOLAR_ROOFTOP_PV NEM"
2024-01-01 00:00:00,0.841
2024-01-01 00:05:00,0.841
2024-01-01 00:10:00,0.841
2024-01-01 00:15:00,0.841
2024-01-01 00:20:00,0.841
2024-01-01 00:25:00,0.841
2024-01-01 00:30:00,0.841
2024-01-01 00:35:00,0.841
2024-01-01 00:40:00,0.731
2024-01-01 00:45:00,0.731
2024-01-01 00:50:00,0.737
2024-01-01 00:55:00,0.737
2024-01-01 01:00:00,0.737
2024-01-01 01:05:00,0.737
2024-01-01 01:10:00,0.737
2024-01-01 01:15:00,0.737
2024-01-01 01:20:00,0.737
2024-01-01 01:25:00,0.737
2024-01-01 01:30:00,0.737
2024-01-01 01:35:00,0.737
2024-01-01 01:40:00,0.737
2024-01-01 01:45:00,0.737
2024-01-01 01:50:00,0.737
2024-01-01 01:55:00,0.737
2024-01-01 02:00:00,0.737
2024-01-01 02:05:00,0.737
2024-01-01 02:10:00,0.737
2024-01-01 02:15:00,0.737
2024-01-01 02:20:00,0.737
2024-01-01 02:25:00,0.737
2024-01-01 02:30:00,0.737
2024-01-01 02:35:00,0.737
2024-01-01 02:40:00,0.737
2024-01-01 02:45:00,0.737
2024-01-01 02:50:00,0.737
2024-01-01 02:55:00,0.737
2024-01-01 03:00:00,0.737
2024-01-01 03:05:00,0.737
2024-01-01 03:10:00,0.737
2024-01-01 03:15:00,0.737
2024-01-01 03:20:00,0.737
2024-01-01 03:25:00,0.737
2024-01-01 03:30:00,0.737
2024-01-01 03:35:00,0.737
2024-01-01 03:40:00,0.737
2024-01-01 03:45:00,0.737
2024-01-01 03:50:00,0.737
2024-01-01 03:55:00,0.737
2024-01-01 04:00:00,0.737
2024-01-01 04:05:00,0.737
2024-01-01 04:10:00,0.737
2024-01-01 04:15:00,0.737
2024-01-01 04:20:00,0.737
2024-01-01 04:25:00,0.737
2024-01-01 04:30:00,0.737
2024-01-01 04:35:00,1.15
2024-01-01 04:40:00,1.57
2024-01-01 04:45:00,1.99
2024-01-01 04:50:00,2.41
2024-01-01 04:55:00,2.82
2024-01-01 05:00:00,3.24
2024-01-01 05:05:00,23.5
2024-01-01 05:10:00,47.5
2024-01-01 05:15:00,74.4
2024-01-01 05:20:00,107
2024-01-01 05:25:00,149
2024-01-01 05:30:00,205
2024-01-01 05:35:00,335
2024-01-01 05:40:00,481
2024-01-01 05:45:00,653
2024-01-01 05:50:00,850
2024-01-01 05:55:00,1058
2024-01-01 06:00:00,1292
2024-01-01 06:05:00,1568
2024-01-01 06:10:00,1885
2024-01-01 06:15:00,2231
2024-01-01 06:20:00,2626
2024-01-01 06:25:00,2954
2024-01-01 06:30:00,3206
2024-01-01 06:35:00,3497
2024-01-01 06:40:00,3873
2024-01-01 06:45:00,4251
2024-01-01 06:50:00,4618
2024-01-01 06:55:00,4887
2024-01-01 07:00:00,5291
2024-01-01 07:05:00,5592
2024-01-01 07:10:00,5959
2024-01-01 07:15:00,6256
2024-01-01 07:20:00,6463
2024-01-01 07:25:00,6774
2024-01-01 07:30:00,7117
2024-01-01 07:35:00,7357
2024-01-01 07:40:00,7702
2024-01-01 07:45:00,7968
2024-01-01 07:50:00,8292
2024-01-01 07:55:00,8524
2024-01-01 08:00:00,8803
2024-01-01 08:05:00,9006
2024-01-01 08:10:00,9434
2024-01-01 08:15:00,9652
2024-01-01 08:20:00,9669
2024-01-01 08:25:00,9849
2024-01-01 08:30:00,10033
2024-01-01 08:35:00,10144
2024-01-01 08:40:00,10426
2024-01-01 08:45:00,10769
2024-01-01 08:50:00,10956
2024-01-01 08:55:00,10992
2024-01-01 09:00:00,11043
2024-01-01 09:05:00,11222
2024-01-01 09:10:00,11284
2024-01-01 09:15:00,11372
2024-01-01 09:20:00,11492
2024-01-01 09:25:00,11628
2024-01-01 09:30:00,11804
2024-01-01 09:35:00,11909
2024-01-01 09:40:00,11892
2024-01-01 09:45:00,12004
2024-01-01 09:50:00,12132
2024-01-01 09:55:00,12159
2024-01-01 10:00:00,12264
2024-01-01 10:05:00,12296
2024-01-01 10:10:00,12386
2024-01-01 10:15:00,12569
2024-01-01 10:20:00,12683
2024-01-01 10:25:00,12649
2024-01-01 10:30:00,12831
2024-01-01 10:35:00,12730
2024-01-01 10:40:00,12837
2024-01-01 10:45:00,12840
2024-01-01 10:50:00,12849
2024-01-01 10:55:00,12961
2024-01-01 11:00:00,12821
2024-01-01 11:05:00,12970
2024-01-01 11:10:00,12887
2024-01-01 11:15:00,12853
2024-01-01 11:20:00,12657
2024-01-01 11:25:00,12794
2024-01-01 11:30:00,12696
2024-01-01 11:35:00,12733
2024-01-01 11:40:00,12771
2024-01-01 11:45:00,12842
2024-01-01 11:50:00,12736
2024-01-01 11:55:00,12903
2024-01-01 12:00:00,12902
2024-01-01 12:05:00,13015
2024-01-01 12:10:00,13014
2024-01-01 12:15:00,13229
2024-01-01 12:20:00,13154
2024-01-01 12:25:00,13141
2024-01-01 12:30:00,12994
2024-01-01 12:35:00,13117
2024-01-01 12:40:00,13266
2024-01-01 12:45:00,13322
2024-01-01 12:50:00,13004
2024-01-01 12:55:00,12958
2024-01-01 13:00:00,12889
2024-01-01 13:05:00,12979
2024-01-01 13:10:00,12983
2024-01-01 13:15:00,12778
2024-01-01 13:20:00,12815
2024-01-01 13:25:00,12485
2024-01-01 13:30:00,12521
2024-01-01 13:35:00,12617
2024-01-01 13:40:00,12678
2024-01-01 13:45:00,12528
2024-01-01 13:50:00,12528
2024-01-01 13:55:00,12627
2024-01-01 14:00:00,12594
2024-01-01 14:05:00,12409
2024-01-01 14:10:00,12186
2024-01-01 14:15:00,12100
2024-01-01 14:20:00,12160
2024-01-01 14:25:00,12059
2024-01-01 14:30:00,11517
2024-01-01 14:35:00,11645
2024-01-01 14:40:00,11568
2024-01-01 14:45:00,11563
2024-01-01 14:50:00,11506
2024-01-01 14:55:00,11458
2024-01-01 15:00:00,11385
2024-01-01 15:05:00,11136
2024-01-01 15:10:00,10974
2024-01-01 15:15:00,10824
2024-01-01 15:20:00,10692
2024-01-01 15:25:00,10310
2024-01-01 15:30:00,10310
2024-01-01 15:35:00,10118
2024-01-01 15:40:00,9762
2024-01-01 15:45:00,9654
2024-01-01 15:50:00,9631
2024-01-01 15:55:00,9191
2024-01-01 16:00:00,9076
2024-01-01 16:05:00,8975
2024-01-01 16:10:00,8795
2024-01-01 16:15:00,8689
2024-01-01 16:20:00,8643
2024-01-01 16:25:00,8457
2024-01-01 16:30:00,8517
2024-01-01 16:35:00,8300
2024-01-01 16:40:00,8096
2024-01-01 16:45:00,7988
2024-01-01 16:50:00,7830
2024-01-01 16:55:00,7449
2024-01-01 17:00:00,7129
2024-01-01 17:05:00,6741
2024-01-01 17:10:00,6565
2024-01-01 17:15:00,6196
2024-01-01 17:20:00,5874
2024-01-01 17:25:00,5470
2024-01-01 17:30:00,5326
2024-01-01 17:35:00,5138
2024-01-01 17:40:00,4975
2024-01-01 17:45:00,4692
2024-01-01 17:50:00,4412
2024-01-01 17:55:00,4104
2024-01-01 18:00:00,3871
2024-01-01 18:05:00,3629
2024-01-01 18:10:00,3397
2024-01-01 18:15:00,3093
2024-01-01 18:20:00,2876
2024-01-01 18:25:00,2488
2024-01-01 18:30:00,2214
2024-01-01 18:35:00,1942
2024-01-01 18:40:00,1601
2024-01-01 18:45:00,1352
2024-01-01 18:50:00,1146
2024-01-01 18:55:00,924
2024-01-01 19:00:00,715
2024-01-01 19:05:00,583
2024-01-01 19:10:00,463
2024-01-01 19:15:00,388
2024-01-01 19:20:00,294
2024-01-01 19:25:00,231
2024-01-01 19:30:00,164
2024-01-01 19:35:00,132
2024-01-01 19:40:00,98.5
2024-01-01 19:45:00,70.8
2024-01-01 19:50:00,49.7
2024-01-01 19:55:00,30.0
2024-01-01 20:00:00,10.1
2024-01-01 20:05:00,8.19
2024-01-01 20:10:00,6.64
2024-01-01 20:15:00,5.17
2024-01-01 20:20:00,3.70
2024-01-01 20:25:00,2.23
2024-01-01 20:30:00,0.757
2024-01-01 20:35:00,0.757
2024-01-01 20:40:00,0.650
2024-01-01 20:45:00,0.650
2024-01-01 20:50:00,0.650
2024-01-01 20:55:00,0.550
2024-01-01 21:00:00,0.550
2024-01-01 21:05:00,0.550
2024-01-01 21:10:00,0.676
2024-01-01 21:15:00,0.456
2024-01-01 21:20:00,0.456
2024-01-01 21:25:00,0.456
2024-01-01 21:30:00,0.659
2024-01-01 21:35:00,0.659
2024-01-01 21:40:00,0.457
2024-01-01 21:45:00,0.457
2024-01-01 21:50:00,0.457
2024-01-01 21:55:00,0.457
2024-01-01 22:00:00,0.457
2024-01-01 22:05:00,0.457
2024-01-01 22:10:00,0.457
2024-01-01 22:15:00,0.457
2024-01-01 22:20:00,0.457
2024-01-01 22:25:00,0.457
2024-01-01 22:30:00,0.457
2024-01-01 22:35:00,0.457
2024-01-01 22:40:00,0.457
2024-01-01 22:45:00,0.457
2024-01-01 22:50:00,0.457
2024-01-01 22:55:00,0.457
2024-01-01 23:00:00,0.457
2024-01-01 23:05:00,0.457
2024-01-01 23:10:00,0.457
2024-01-01 23:15:00,0.457
2024-01-01 23:20:00,0.457
2024-01-01 23:25:00,0.457
2024-01-01 23:30:00,0.457
2024-01-01 23:35:00,0.457
2024-01-01 23:40:00,0.457
2024-01-01 23:45:00,0.675
2024-01-01 23:50:00,0.675
2024-01-01 23:55:00,0.462
2024-01-02 00:00:00,0.462
2024-01-02 00:05:00,0.462
2024-01-02 00:10:00,0.685
2024-01-02 00:15:00,0.685
2024-01-02 00:20:00,0.685
2024-01-02 00:25:00,0.685
2024-01-02 00:30:00,0.685
2024-01-02 00:35:00,0.685
2024-01-02 00:40:00,0.685
2024-01-02 00:45:00,0.685
2024-01-02 00:50:00,0.475
2024-01-02 00:55:00,0.701
2024-01-02 01:00:00,0.701
2024-01-02 01:05:00,0.701
2024-01-02 01:10:00,0.491
2024-01-02 01:15:00,0.491
2024-01-02 01:20:00,0.719
2024-01-02 01:25:00,0.719
2024-01-02 01:30:00,0.513
2024-01-02 01:35:00,0.513
2024-01-02 01:40:00,0.513
2024-01-02 01:45:00,0.513
2024-01-02 01:50:00,0.513
2024-01-02 01:55:00,0.513
2024-01-02 02:00:00,0.513
2024-01-02 02:05:00,0.513
2024-01-02 02:10:00,0.513
2024-01-02 02:15:00,0.513
2024-01-02 02:20:00,0.513
2024-01-02 02:25:00,0.513
2024-01-02 02:30:00,0.513
2024-01-02 02:35:00,0.513
2024-01-02 02:40:00,0.620
2024-01-02 02:45:00,0.518
2024-01-02 02:50:00,0.518
2024-01-02 02:55:00,0.518
2024-01-02 03:00:00,0.518
2024-01-02 03:05:00,0.518
2024-01-02 03:10:00,0.518
2024-01-02 03:15:00,0.518
2024-01-02 03:20:00,0.518
2024-01-02 03:25:00,0.518
2024-01-02 03:30:00,0.518
2024-01-02 03:35:00,0.721
2024-01-02 03:40:00,0.721
2024-01-02 03:45:00,0.721
2024-01-02 03:50:00,0.721
2024-01-02 03:55:00,0.721
2024-01-02 04:00:00,0.721
2024-01-02 04:05:00,0.514
2024-01-02 04:10:00,0.514
2024-01-02 04:15:00,0.514
2024-01-02 04:20:00,0.514
2024-01-02 04:25:00,0.721
2024-01-02 04:30:00,0.721
2024-01-02 04:35:00,1.40
2024-01-02 04:40:00,1.88
2024-01-02 04:45:00,2.56
2024-01-02 04:50:00,3.30
2024-01-02 04:55:00,4.07
2024-01-02 05:00:00,5.26
2024-01-02 05:05:00,28.0
2024-01-02 05:10:00,50.7
2024-01-02 05:15:00,76.1
2024-01-02 05:20:00,107
2024-01-02 05:25:00,145
2024-01-02 05:30:00,213
2024-01-02 05:35:00,334
2024-01-02 05:40:00,475
2024-01-02 05:45:00,633
2024-01-02 05:50:00,779
2024-01-02 05:55:00,942
2024-01-02 06:00:00,1081
2024-01-02 06:05:00,1289
2024-01-02 06:10:00,1592
2024-01-02 06:15:00,1760
2024-01-02 06:20:00,1959
2024-01-02 06:25:00,2208
2024-01-02 06:30:00,2445
2024-01-02 06:35:00,2781
2024-01-02 06:40:00,3047
2024-01-02 06:45:00,3216
2024-01-02 06:50:00,3458
2024-01-02 06:55:00,3781
2024-01-02 07:00:00,4146
2024-01-02 07:05:00,4409
2024-01-02 07:10:00,4718
2024-01-02 07:15:00,5090
2024-01-02 07:20:00,5490
2024-01-02 07:25:00,5808
2024-01-02 07:30:00,6333
2024-01-02 07:35:00,6820
2024-01-02 07:40:00,7170
2024-01-02 07:45:00,7553
2024-01-02 07:50:00,7636
2024-01-02 07:55:00,7826
2024-01-02 08:00:00,8003
2024-01-02 08:05:00,8564
2024-01-02 08:10:00,8815
2024-01-02 08:15:00,9077
2024-01-02 08:20:00,9519
2024-01-02 08:25:00,9969
2024-01-02 08:30:00,10256
2024-01-02 08:35:00,10580
2024-01-02 08:40:00,10612
2024-01-02 08:45:00,10884
2024-01-02 08:50:00,10990
2024-01-02 08:55:00,11218
2024-01-02 09:00:00,11362
2024-01-02 09:05:00,11614
2024-01-02 09:10:00,11647
2024-01-02 09:15:00,11729
2024-01-02 09:20:00,12014
2024-01-02 09:25:00,12290
2024-01-02 09:30:00,12621
2024-01-02 09:35:00,12551
2024-01-02 09:40:00,12703
2024-01-02 09:45:00,12834
2024-01-02 09:50:00,13030
2024-01-02 09:55:00,13166
2024-01-02 10:00:00,13377
2024-01-02 10:05:00,13169
2024-01-02 10:10:00,13568
2024-01-02 10:15:00,13725
2024-01-02 10:20:00,13559
2024-01-02 10:25:00,13595
2024-01-02 10:30:00,13786
2024-01-02 10:35:00,13677
2024-01-02 10:40:00,14116
2024-01-02 10:45:00,14179
2024-01-02 10:50:00,14172
2024-01-02 10:55:00,14071
2024-01-02 11:00:00,14199
2024-01-02 11:05:00,14175
2024-01-02 11:10:00,14147
2024-01-02 11:15:00,14226
2024-01-02 11:20:00,14350
2024-01-02 11:25:00,14198
2024-01-02 11:30:00,14171
2024-01-02 11:35:00,14157
2024-01-02 11:40:00,14146
2024-01-02 11:45:00,14349
2024-01-02 11:50:00,14203
2024-01-02 11:55:00,14162
2024-01-02 12:00:00,14086
2024-01-02 12:05:00,14283
2024-01-02 12:10:00,14078
2024-01-02 12:15:00,14152
2024-01-02 12:20:00,14077
2024-01-02 12:25:00,14011
2024-01-02 12:30:00,14159
2024-01-02 12:35:00,14032
2024-01-02 12:40:00,13804
2024-01-02 12:45:00,13645
2024-01-02 12:50:00,13774
2024-01-02 12:55:00,13620
2024-01-02 13:00:00,13664
2024-01-02 13:05:00,13586
2024-01-02 13:10:00,13297
2024-01-02 13:15:00,13197
2024-01-02 13:20:00,13159
2024-01-02 13:25:00,13197
2024-01-02 13:30:00,12796
2024-01-02 13:35:00,12705
2024-01-02 13:40:00,12625
2024-01-02 13:45:00,12474
2024-01-02 13:50:00,12330
2024-01-02 13:55:00,12172
2024-01-02 14:00:00,12313
2024-01-02 14:05:00,11949
2024-01-02 14:10:00,11903
2024-01-02 14:15:00,11906
2024-01-02 14:20:00,11847
2024-01-02 14:25:00,11712
2024-01-02 14:30:00,11621
2024-01-02 14:35:00,11380
2024-01-02 14:40:00,11189
2024-01-02 14:45:00,10941
2024-01-02 14:50:00,10965
2024-01-02 14:55:00,10941
2024-01-02 15:00:00,10803
2024-01-02 15:05:00,10613
2024-01-02 15:10:00,9973
2024-01-02 15:15:00,9866
2024-01-02 15:20:00,9943
2024-01-02 15:25:00,9864
2024-01-02 15:30:00,9366
2024-01-02 15:35:00,9318
2024-01-02 15:40:00,9053
2024-01-02 15:45:00,8994
2024-01-02 15:50:00,8818
2024-01-02 15:55:00,8525
2024-01-02 16:00:00,8554
2024-01-02 16:05:00,8371
2024-01-02 16:10:00,8414
2024-01-02 16:15:00,8276
2024-01-02 16:20:00,8084
2024-01-02 16:25:00,7845
2024-01-02 16:30:00,7706
2024-01-02 16:35:00,7277
2024-01-02 16:40:00,7073
2024-01-02 16:45:00,7039
2024-01-02 16:50:00,6981
2024-01-02 16:55:00,6734
2024-01-02 17:00:00,6572
2024-01-02 17:05:00,6396
2024-01-02 17:10:00,6171
2024-01-02 17:15:00,5704
2024-01-02 17:20:00,5525
2024-01-02 17:25:00,5213
2024-01-02 17:30:00,4774
2024-01-02 17:35:00,4641
2024-01-02 17:40:00,4541
2024-01-02 17:45:00,4473
2024-01-02 17:50:00,4298
2024-01-02 17:55:00,3861
2024-01-02 18:00:00,3599
2024-01-02 18:05:00,3095
2024-01-02 18:10:00,2873
2024-01-02 18:15:00,2550
2024-01-02 18:20:00,2241
2024-01-02 18:25:00,1900
2024-01-02 18:30:00,1649
2024-01-02 18:35:00,1452
2024-01-02 18:40:00,1292
2024-01-02 18:45:00,1122
2024-01-02 18:50:00,877
2024-01-02 18:55:00,711
2024-01-02 19:00:00,642
2024-01-02 19:05:00,540
2024-01-02 19:10:00,425
2024-01-02 19:15:00,356
2024-01-02 19:20:00,293
2024-01-02 19:25:00,219
2024-01-02 19:30:00,155
2024-01-02 19:35:00,114
2024-01-02 19:40:00,90.2
2024-01-02 19:45:00,67.7
2024-01-02 19:50:00,49.9
2024-01-02 19:55:00,35.1
2024-01-02 20:00:00,19.9
2024-01-02 20:05:00,16.3
2024-01-02 20:10:00,13.3
2024-01-02 20:15:00,10.4
2024-01-02 20:20:00,7.41
2024-01-02 20:25:00,4.47
2024-01-02 20:30:00,1.53
2024-01-02 20:35:00,1.53
2024-01-02 20:40:00,1.53
2024-01-02 20:45:00,1.53
2024-01-02 20:50:00,1.53
2024-01-02 20:55:00,1.53
2024-01-02 21:00:00,1.53
2024-01-02 21:05:00,1.53
2024-01-02 21:10:00,1.64
2024-01-02 21:15:00,1.64
2024-01-02 21:20:00,1.64
2024-01-02 21:25:00,1.64
2024-01-02 21:30:00,1.64
2024-01-02 21:35:00,1.64
2024-01-02 21:40:00,1.64
2024-01-02 21:45:00,1.64
2024-01-02 21:50:00,1.64
2024-01-02 21:55:00,1.64
2024-01-02 22:00:00,1.64
2024-01-02 22:05:00,1.64
2024-01-02 22:10:00,1.64
2024-01-02 22:15:00,1.64
2024-01-02 22:20:00,1.64
2024-01-02 22:25:00,1.64
2024-01-02 22:30:00,1.64
2024-01-02 22:35:00,1.64
2024-01-02 22:40:00,1.64
2024-01-02 22:45:00,1.64
2024-01-02 22:50:00,1.64
2024-01-02 22:55:00,1.64
2024-01-02 23:00:00,1.64
2024-01-02 23:05:00,1.64
2024-01-02 23:10:00,1.64
2024-01-02 23:15:00,1.43
2024-01-02 23:20:00,1.43
2024-01-02 23:25:00,1.33
2024-01-02 23:30:00,1.33
2024-01-02 23:35:00,1.33
2024-01-02 23:40:00,1.33
2024-01-02 23:45:00,1.33
2024-01-02 23:50:00,1.33
2024-01-02 23:55:00,1.33
2024-01-03 00:00:00,1.33
2024-01-03 00:05:00,1.33
2024-01-03 00:10:00,1.33
2024-01-03 00:15:00,1.33
2024-01-03 00:20:00,1.33
2024-01-03 00:25:00,1.33
2024-01-03 00:30:00,1.33
2024-01-03 00:35:00,1.33
2024-01-03 00:40:00,1.51
2024-01-03 00:45:00,1.51
2024-01-03 00:50:00,1.51
2024-01-03 00:55:00,1.51
2024-01-03 01:00:00,1.51
2024-01-03 01:05:00,1.51
2024-01-03 01:10:00,1.51
2024-01-03 01:15:00,1.51
2024-01-03 01:20:00,1.51
2024-01-03 01:25:00,1.51
2024-01-03 01:30:00,1.32
2024-01-03 01:35:00,1.32
2024-01-03 01:40:00,1.32
2024-01-03 01:45:00,1.32
2024-01-03 01:50:00,1.52
2024-01-03 01:55:00,1.52
2024-01-03 02:00:00,1.52
2024-01-03 02:05:00,1.52
2024-01-03 02:10:00,1.52
2024-01-03 02:15:00,1.52
2024-01-03 02:20:00,1.52
2024-01-03 02:25:00,1.52
2024-01-03 02:30:00,1.52
2024-01-03 02:35:00,1.52
2024-01-03 02:40:00,1.52
2024-01-03 02:45:00,1.52
2024-01-03 02:50:00,1.52
2024-01-03 02:55:00,1.52
2024-01-03 03:00:00,1.52
2024-01-03 03:05:00,1.52
2024-01-03 03:10:00,1.52
2024-01-03 03:15:00,1.52
2024-01-03 03:20:00,1.52
2024-01-03 03:25:00,1.52
2024-01-03 03:30:00,1.52
2024-01-03 03:35:00,1.52
2024-01-03 03:40:00,1.52
2024-01-03 03:45:00,1.52
2024-01-03 03:50:00,1.52
2024-01-03 03:55:00,1.52
2024-01-03 04:00:00,1.52
2024-01-03 04:05:00,1.52
2024-01-03 04:10:00,1.52
2024-01-03 04:15:00,1.52
2024-01-03 04:20:00,1.52
2024-01-03 04:25:00,1.52
2024-01-03 04:30:00,1.52
2024-01-03 04:35:00,1.91
2024-01-03 04:40:00,2.19
2024-01-03 04:45:00,2.58
2024-01-03 04:50:00,2.97
2024-01-03 04:55:00,3.36
2024-01-03 05:00:00,3.74
2024-01-03 05:05:00,27.7
2024-01-03 05:10:00,53.6
2024-01-03 05:15:00,81.7
2024-01-03 05:20:00,112
2024-01-03 05:25:00,152
2024-01-03 05:30:00,204
2024-01-03 05:35:00,335
2024-01-03 05:40:00,516
2024-01-03 05:45:00,741
2024-01-03 05:50:00,962
2024-01-03 05:55:00,1228
2024-01-03 06:00:00,1541
2024-01-03 06:05:00,1941
2024-01-03 06:10:00,2325
2024-01-03 06:15:00,2726
2024-01-03 06:20:00,3161
2024-01-03 06:25:00,3641
2024-01-03 06:30:00,4069
2024-01-03 06:35:00,4634
