Year,name,value,reactor
1974,Reference Unit Power (MWe),319,ATUCHA-1
1974,Annual Time Online (Hours),4458,ATUCHA-1
1974,Electricity Supplied (GWh),947.5,ATUCHA-1
1975,Reference Unit Power (MWe),319,ATUCHA-1
1975,Annual Time Online (Hours),7730,ATUCHA-1
1975,Electricity Supplied (GWh),2357.8,ATUCHA-1
1976,Reference Unit Power (MWe),319,ATUCHA-1
1976,Annual Time Online (Hours),7808,ATUCHA-1
1976,Electricity Supplied (GWh),2408.6,ATUCHA-1
1977,Reference Unit Power (MWe),345,ATUCHA-1
1977,Annual Time Online (Hours),4650,ATUCHA-1
1977,Electricity Supplied (GWh),1537,ATUCHA-1
1978,Reference Unit Power (MWe),345,ATUCHA-1
1978,Annual Time Online (Hours),8026,ATUCHA-1
1978,Electricity Supplied (GWh),2711.81,ATUCHA-1
1979,Reference Unit Power (MWe),335,ATUCHA-1
1979,Annual Time Online (Hours),7551,ATUCHA-1
1979,Electricity Supplied (GWh),2503.7,ATUCHA-1
1980,Reference Unit Power (MWe),335,ATUCHA-1
1980,Annual Time Online (Hours),6947,ATUCHA-1
1980,Electricity Supplied (GWh),2180.5,ATUCHA-1
1981,Reference Unit Power (MWe),335,ATUCHA-1
1981,Annual Time Online (Hours),8120,ATUCHA-1
1981,Electricity Supplied (GWh),2647.6,ATUCHA-1
1982,Reference Unit Power (MWe),335,ATUCHA-1
1982,Annual Time Online (Hours),5600,ATUCHA-1
1982,Electricity Supplied (GWh),1753.6,ATUCHA-1
1983,Reference Unit Power (MWe),335,ATUCHA-1
1983,Annual Time Online (Hours),8101,ATUCHA-1
1983,Electricity Supplied (GWh),2356,ATUCHA-1
1984,Reference Unit Power (MWe),335,ATUCHA-1
1984,Annual Time Online (Hours),8678,ATUCHA-1
1984,Electricity Supplied (GWh),1706.12,ATUCHA-1
1985,Reference Unit Power (MWe),335,ATUCHA-1
1985,Annual Time Online (Hours),7159,ATUCHA-1
1985,Electricity Supplied (GWh),1470.45,ATUCHA-1
1986,Reference Unit Power (MWe),335,ATUCHA-1
1986,Annual Time Online (Hours),7532,ATUCHA-1
1986,Electricity Supplied (GWh),2204.96,ATUCHA-1
1987,Reference Unit Power (MWe),335,ATUCHA-1
1987,Annual Time Online (Hours),4391,ATUCHA-1
1987,Electricity Supplied (GWh),1405.8,ATUCHA-1
1988,Reference Unit Power (MWe),335,ATUCHA-1
1988,Annual Time Online (Hours),2515,ATUCHA-1
1988,Electricity Supplied (GWh),808.1,ATUCHA-1
1989,Reference Unit Power (MWe),335,ATUCHA-1
1989,Annual Time Online (Hours),0,ATUCHA-1
1989,Electricity Supplied (GWh),0,ATUCHA-1
1990,Reference Unit Power (MWe),335,ATUCHA-1
1990,Annual Time Online (Hours),7201,ATUCHA-1
1990,Electricity Supplied (GWh),1722.59,ATUCHA-1
1991,Reference Unit Power (MWe),335,ATUCHA-1
1991,Annual Time Online (Hours),8390,ATUCHA-1
1991,Electricity Supplied (GWh),2721.89,ATUCHA-1
1992,Reference Unit Power (MWe),335,ATUCHA-1
1992,Annual Time Online (Hours),7089,ATUCHA-1
1992,Electricity Supplied (GWh),2230.24,ATUCHA-1
1993,Reference Unit Power (MWe),335,ATUCHA-1
1993,Annual Time Online (Hours),7287,ATUCHA-1
