attribute,value,reactorName
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),ATUCHA-1
Model,PHWR KWU,ATUCHA-1
Owner,Nucleoelectrica Argentina S.A.,ATUCHA-1
Operator,Nucleoelectrica Argentina S.A.,ATUCHA-1
Construction Start,"Friday, 31 May 1968",ATUCHA-1
First Criticality,"Sunday, 13 January 1974",ATUCHA-1
First Grid Connection,"Tuesday, 19 March 1974",ATUCHA-1
Commercial Operation,"Monday, 24 June 1974",ATUCHA-1
Capacity Net,340 MWe,ATUCHA-1
Capacity Gross,362 MWe,ATUCHA-1
Thermal Capacity,1179 MWt,ATUCHA-1
Design Net Capacity,319 MWe,ATUCHA-1
Total GWh,105847.35,ATUCHA-1
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),ATUCHA-2
Model,PHWR KWU,ATUCHA-2
Owner,Nucleoelectrica Argentina S.A.,ATUCHA-2
Operator,Nucleoelectrica Argentina S.A.,ATUCHA-2
Construction Start,"Monday, 13 July 1981",ATUCHA-2
First Criticality,"Tuesday, 3 June 2014",ATUCHA-2
First Grid Connection,"Tuesday, 24 June 2014",ATUCHA-2
Commercial Operation,"Wednesday, 25 May 2016",ATUCHA-2
Capacity Net,693 MWe,ATUCHA-2
Capacity Gross,745 MWe,ATUCHA-2
Thermal Capacity,2160 MWt,ATUCHA-2
Design Net Capacity,692 MWe,ATUCHA-2
Total GWh,28237.4,ATUCHA-2
Reactor Type,Pressurised Water Reactor (or PWR),CAREM25
Model,CAREM Prototype (Integrated-PWR),CAREM25
Owner,Comision Nacional De Energia Atomica,CAREM25
Operator,Comision Nacional De Energia Atomica,CAREM25
Construction Start,"Saturday, 8 February 2014",CAREM25
Capacity Net,25 MWe,CAREM25
Capacity Gross,29 MWe,CAREM25
Thermal Capacity,100 MWt,CAREM25
Design Net Capacity,25 MWe,CAREM25
Total GWh,0,CAREM25
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),EMBALSE
Model,CANDU 6,EMBALSE
Owner,Nucleoelectrica Argentina S.A.,EMBALSE
Operator,Nucleoelectrica Argentina S.A.,EMBALSE
Construction Start,"Sunday, 31 March 1974",EMBALSE
First Criticality,"Sunday, 13 March 1983",EMBALSE
First Grid Connection,"Monday, 25 April 1983",EMBALSE
Commercial Operation,"Friday, 20 January 1984",EMBALSE
Capacity Net,608 MWe,EMBALSE
Capacity Gross,656 MWe,EMBALSE
Thermal Capacity,2064 MWt,EMBALSE
Design Net Capacity,608 MWe,EMBALSE
Total GWh,155999.94,EMBALSE
Reactor Type,Pressurised Water Reactor (or PWR),ARMENIAN-1
Model,VVER V-270,ARMENIAN-1
Owner,Ministry Of Energy And Natural Resources Of Armenia,ARMENIAN-1
Operator,Closed Joint Stock Company Armenian Npp,ARMENIAN-1
Construction Start,"Tuesday, 1 July 1969",ARMENIAN-1
First Criticality,"Wednesday, 15 December 1976",ARMENIAN-1
First Grid Connection,"Wednesday, 22 December 1976",ARMENIAN-1
Commercial Operation,"Thursday, 6 October 1977",ARMENIAN-1
Permanent Shutdown,"Saturday, 25 February 1989",ARMENIAN-1
Capacity Net,376 MWe,ARMENIAN-1
Capacity Gross,408 MWe,ARMENIAN-1
Thermal Capacity,1375 MWt,ARMENIAN-1
Design Net Capacity,376 MWe,ARMENIAN-1
Total GWh,4756.16,ARMENIAN-1
Reactor Type,Pressurised Water Reactor (or PWR),ARMENIAN-2
Model,VVER V-270,ARMENIAN-2
Owner,Ministry Of Energy And Natural Resources Of Armenia,ARMENIAN-2
Operator,Closed Joint Stock Company Armenian Npp,ARMENIAN-2
Construction Start,"Tuesday, 1 July 1975",ARMENIAN-2
First Criticality,"Tuesday, 1 January 1980",ARMENIAN-2
First Grid Connection,"Saturday, 5 January 1980",ARMENIAN-2
Commercial Operation,"Saturday, 3 May 1980",ARMENIAN-2
Long-term Shutdown,"Saturday, 18 March 1989",ARMENIAN-2
Restart,"Sunday, 5 November 1995",ARMENIAN-2
Capacity Net,416 MWe,ARMENIAN-2
Capacity Gross,448 MWe,ARMENIAN-2
Thermal Capacity,1375 MWt,ARMENIAN-2
Design Net Capacity,375 MWe,ARMENIAN-2
Total GWh,65999.12,ARMENIAN-2
Reactor Type,Pressurised Water Reactor (or PWR),ROOPPUR-1
Model,VVER V-523,ROOPPUR-1
Owner,Bangladesh Atomic Energy Commission,ROOPPUR-1
Operator,Nuclear Power Plant Company Bangladesh Limited,ROOPPUR-1
Construction Start,"Thursday, 30 November 2017",ROOPPUR-1
Capacity Net,1080 MWe,ROOPPUR-1
Capacity Gross,1200 MWe,ROOPPUR-1
Thermal Capacity,3200 MWt,ROOPPUR-1
Design Net Capacity,1080 MWe,ROOPPUR-1
Total GWh,0,ROOPPUR-1
Reactor Type,Pressurised Water Reactor (or PWR),ROOPPUR-2
Model,VVER V-523,ROOPPUR-2
Owner,Bangladesh Atomic Energy Commission,ROOPPUR-2
Operator,Nuclear Power Plant Company Bangladesh Limited,ROOPPUR-2
Construction Start,"Saturday, 14 July 2018",ROOPPUR-2
Capacity Net,1080 MWe,ROOPPUR-2
Capacity Gross,1200 MWe,ROOPPUR-2
Thermal Capacity,3200 MWt,ROOPPUR-2
Design Net Capacity,1080 MWe,ROOPPUR-2
Total GWh,0,ROOPPUR-2
Reactor Type,Pressurised Water Reactor (or PWR),BELARUSIAN-1
Model,VVER V-491,BELARUSIAN-1
Owner,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",BELARUSIAN-1
Operator,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",BELARUSIAN-1
Construction Start,"Friday, 8 November 2013",BELARUSIAN-1
First Criticality,"Sunday, 11 October 2020",BELARUSIAN-1
First Grid Connection,"Tuesday, 3 November 2020",BELARUSIAN-1
Commercial Operation,"Thursday, 10 June 2021",BELARUSIAN-1
Capacity Net,1110 MWe,BELARUSIAN-1
Capacity Gross,1194 MWe,BELARUSIAN-1
Thermal Capacity,3200 MWt,BELARUSIAN-1
Design Net Capacity,1110 MWe,BELARUSIAN-1
Total GWh,17847.29,BELARUSIAN-1
Reactor Type,Pressurised Water Reactor (or PWR),BELARUSIAN-2
