Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
865,BRUCE-3,PHWR,Operational,TIVERTON,770,1977-12-12,1977-12-12,CA
868,BRUCE-4,PHWR,Operational,TIVERTON,769,1978-12-21,1978-12-21,CA
868,BRUCE-1,PHWR,Operational,TIVERTON,774,1977-01-14,1977-01-14,CA
836,BRUCE-2,PHWR,Operational,TIVERTON,777,1976-09-04,1976-09-04,CA
872,BRUCE-5,PHWR,Operational,TIVERTON,817,1984-12-01,1984-12-01,CA
891,BRUCE-6,PHWR,Operational,TIVERTON,817,1984-06-26,1984-06-26,CA
872,BRUCE-7,PHWR,Operational,TIVERTON,817,1986-02-22,1986-02-22,CA
872,BRUCE-8,PHWR,Operational,TIVERTON,817,1987-03-07,1987-03-07,CA
934,DARLINGTON-1,PHWR,Operational,TOWN OF NEWCASTLE,878,1990-12-19,1990-12-19,CA
934,DARLINGTON-2,PHWR,Operational,TOWN OF NEWCASTLE,878,1990-01-15,1990-01-15,CA
934,DARLINGTON-3,PHWR,Operational,TOWN OF NEWCASTLE,878,1992-12-07,1992-12-07,CA
934,DARLINGTON-4,PHWR,Operational,TOWN OF NEWCASTLE,878,1993-04-17,1993-04-17,CA
218,DOUGLAS POINT,PHWR,Permanent Shutdown,TIVERTON,206,1967-01-07,1967-01-07,CA
675,GENTILLY-2,PHWR,Permanent Shutdown,BECANCOUR,635,1982-12-04,1982-12-04,CA
266,GENTILLY-1,HWLWR,Permanent Shutdown,BECANCOUR,250,1971-04-05,1971-04-05,CA
25,ROLPHTON NPD,PHWR,Permanent Shutdown,ROLPHTON,22,1962-06-04,1962-06-04,CA
540,PICKERING-5,PHWR,Operational,PICKERING,516,1982-12-19,1982-12-19,CA
540,PICKERING-6,PHWR,Operational,PICKERING,516,1983-11-08,1983-11-08,CA
540,PICKERING-7,PHWR,Operational,PICKERING,516,1984-11-17,1984-11-17,CA
540,PICKERING-8,PHWR,Operational,PICKERING,516,1986-01-21,1986-01-21,CA
542,PICKERING-1,PHWR,Operational,PICKERING,515,1971-04-04,1971-04-04,CA
542,PICKERING-2,PHWR,Permanent Shutdown,PICKERING,515,1971-10-06,1971-10-06,CA
542,PICKERING-3,PHWR,Permanent Shutdown,PICKERING,515,1972-05-03,1972-05-03,CA
542,PICKERING-4,PHWR,Operational,PICKERING,515,1973-05-21,1973-05-21,CA
705,POINT LEPREAU,PHWR,Operational,SAINT JOHN,660,1982-09-11,1982-09-11,CA
