Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
1210,SANAOCUN-1,PWR,Under Construction,Wenzhou,1117,,NA,CN
1210,SANAOCUN-2,PWR,Under Construction,Wenzhou,1117,,NA,CN
25,CEFR,FBR,Operational,Tuoli,20,2011-07-21,2011-07-21,CN
650,CHANGJIANG-1,PWR,Operational,Changjiang,601,2015-11-07,2015-11-07,CN
650,CHANGJIANG-2,PWR,Operational,Changjiang,601,2016-06-20,2016-06-20,CN
1197,CHANGJIANG-3,PWR,Under Construction,Changjiang,1000,,NA,CN
1200,CHANGJIANG-4,PWR,Under Construction,Changjiang,1000,,NA,CN
125,LINGLONG-1,PWR,Under Construction,Changjiang,100,,NA,CN
682,XIAPU-1,FBR,Under Construction,Xiapu,642,,NA,CN
1086,FANGCHENGGANG-1,PWR,Operational,Fangchenggang,1000,2015-10-25,2015-10-25,CN
1086,FANGCHENGGANG-2,PWR,Operational,Fangchenggang,1000,2016-07-15,2016-07-15,CN
1180,FANGCHENGGANG-3,PWR,Under Construction,Fangchenggang,1000,,NA,CN
1180,FANGCHENGGANG-4,PWR,Under Construction,Fangchenggang,1000,,NA,CN
1089,FUQING-1,PWR,Operational,Fuqing,1000,2014-08-20,2014-08-20,CN
1089,FUQING-2,PWR,Operational,Fuqing,1000,2015-08-06,2015-08-06,CN
1089,FUQING-3,PWR,Operational,Fuqing,1000,2016-09-07,2016-09-07,CN
1089,FUQING-4,PWR,Operational,Fuqing,1000,2017-07-29,2017-07-29,CN
1150,FUQING-5,PWR,Operational,Fuqing,1075,2020-11-27,2020-11-27,CN
1150,FUQING-6,PWR,Operational,Fuqing,1075,2022-01-01,2022-01-01,CN
984,DAYA BAY-1,PWR,Operational,SHENZHEN CITY,944,1993-08-31,1993-08-31,CN
984,DAYA BAY-2,PWR,Operational,SHENZHEN CITY,944,1994-02-07,1994-02-07,CN
1250,HAIYANG-1,PWR,Operational,Haiyang,1170,2018-08-17,2018-08-17,CN
1250,HAIYANG-2,PWR,Operational,Haiyang,1170,2018-10-13,2018-10-13,CN
1119,HONGYANHE-1,PWR,Operational,DALIAN,1061,2013-02-17,2013-02-17,CN
1119,HONGYANHE-2,PWR,Operational,DALIAN,1061,2013-11-23,2013-11-23,CN
1119,HONGYANHE-3,PWR,Operational,DALIAN,1061,2015-03-23,2015-03-23,CN
1119,HONGYANHE-4,PWR,Operational,DALIAN,1061,2016-04-01,2016-04-01,CN
1119,HONGYANHE-5,PWR,Operational,DALIAN,1061,2021-06-25,2021-06-25,CN
1119,HONGYANHE-6,PWR,Operational,DALIAN,1061,2022-05-02,2022-05-02,CN
990,LING AO-1,PWR,Operational,SHENZEN,950,2002-02-26,2002-02-26,CN
990,LING AO-2,PWR,Operational,SHENZEN,950,2002-09-14,2002-09-14,CN
1086,LING AO-3,PWR,Operational,SHENZEN,1007,2010-07-15,2010-07-15,CN
1086,LING AO-4,PWR,Operational,SHENZEN,1007,2011-05-03,2011-05-03,CN
1089,NINGDE-1,PWR,Operational,Ningde,1018,2012-12-28,2012-12-28,CN
1089,NINGDE-2,PWR,Operational,Ningde,1018,2014-01-04,2014-01-04,CN
1089,NINGDE-3,PWR,Operational,Ningde,1018,2015-03-21,2015-03-21,CN
1089,NINGDE-4,PWR,Operational,Ningde,1018,2016-03-29,2016-03-29,CN
330,QINSHAN-1,PWR,Operational,Jiaxing,308,1991-12-15,1991-12-15,CN
660,QINSHAN 2-3,PWR,Operational,Jiaxing,619,2010-08-01,2010-08-01,CN
660,QINSHAN 2-4,PWR,Operational,Jiaxing,619,2011-11-25,2011-11-25,CN
