Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
15,AVR JUELICH,HTGR,Permanent Shutdown,JUELICH,13,1967-12-17,1967-12-17,DE
1225,BIBLIS-A,PWR,Permanent Shutdown,BIBLIS,1167,1974-08-25,1974-08-25,DE
1300,BIBLIS-B,PWR,Permanent Shutdown,BIBLIS,1240,1976-04-25,1976-04-25,DE
1480,BROKDORF,PWR,Permanent Shutdown,OSTERENDE,1410,1986-10-14,1986-10-14,DE
806,BRUNSBUETTEL,BWR,Permanent Shutdown,BRUNSBUETTEL,771,1976-07-13,1976-07-13,DE
1406,EMSLAND,PWR,Operational,LINGEN (EMS),1335,1988-04-19,1988-04-19,DE
1345,GRAFENRHEINFELD,PWR,Permanent Shutdown,SCHWEINFURT,1275,1981-12-30,1981-12-30,DE
440,GREIFSWALD-1,PWR,Permanent Shutdown,GREIFSWALD,408,1973-12-17,1973-12-17,DE
440,GREIFSWALD-2,PWR,Permanent Shutdown,GREIFSWALD,408,1974-12-23,1974-12-23,DE
440,GREIFSWALD-3,PWR,Permanent Shutdown,GREIFSWALD,408,1977-10-24,1977-10-24,DE
440,GREIFSWALD-4,PWR,Permanent Shutdown,GREIFSWALD,408,1979-09-03,1979-09-03,DE
440,GREIFSWALD-5,PWR,Permanent Shutdown,GREIFSWALD,408,1989-04-24,1989-04-24,DE
1430,GROHNDE,PWR,Permanent Shutdown,GROHNDE,1360,1984-09-05,1984-09-05,DE
1344,GUNDREMMINGEN-B,BWR,Permanent Shutdown,GUNDREMMINGEN,1284,1984-03-16,1984-03-16,DE
1344,GUNDREMMINGEN-C,BWR,Permanent Shutdown,GUNDREMMINGEN,1288,1984-11-02,1984-11-02,DE
250,GUNDREMMINGEN-A,BWR,Permanent Shutdown,GUNDREMMINGEN,237,1966-12-01,1966-12-01,DE
912,ISAR-1,BWR,Permanent Shutdown,ESSENBACH,878,1977-12-03,1977-12-03,DE
1485,ISAR-2,PWR,Operational,ESSENBACH,1410,1988-01-22,1988-01-22,DE
21,KNK II,FBR,Permanent Shutdown,EGGENSTEIN,17,1978-04-09,1978-04-09,DE
1402,KRUEMMEL,BWR,Permanent Shutdown,GEESTHACHT,1346,1983-09-28,1983-09-28,DE
268,LINGEN,BWR,Permanent Shutdown,LINGEN,183,1968-07-01,1968-07-01,DE
1302,MUELHEIM-KAERLICH,PWR,Permanent Shutdown,MULHEIM-KAERLICH,1219,1986-03-14,1986-03-14,DE
57,MZFR,PHWR,Permanent Shutdown,KARLSRUHE,52,1966-03-09,1966-03-09,DE
840,NECKARWESTHEIM-1,PWR,Permanent Shutdown,NECKARWESTHEIM,785,1976-06-03,1976-06-03,DE
1400,NECKARWESTHEIM-2,PWR,Operational,NECKARWESTHEIM,1310,1989-01-03,1989-01-03,DE
357,OBRIGHEIM,PWR,Permanent Shutdown,OBRIGHEIM,340,1968-10-29,1968-10-29,DE
926,PHILIPPSBURG-1,BWR,Permanent Shutdown,PHILIPPSBURG,890,1979-05-05,1979-05-05,DE
1468,PHILIPPSBURG-2,PWR,Permanent Shutdown,PHILIPPSBURG,1402,1984-12-17,1984-12-17,DE
70,RHEINSBERG,PWR,Permanent Shutdown,GRANSEE,62,1966-05-06,1966-05-06,DE
672,STADE,PWR,Permanent Shutdown,STADE,640,1972-01-29,1972-01-29,DE
308,THTR-300,HTGR,Permanent Shutdown,HAMM-UENTROP,296,1985-11-16,1985-11-16,DE
1410,UNTERWESER,PWR,Permanent Shutdown,STADLAND,1345,1978-09-29,1978-09-29,DE
670,WUERGASSEN,BWR,Permanent Shutdown,WUERGASSEN,640,1971-12-18,1971-12-18,DE
