Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
1049,ALMARAZ-1,PWR,Operational,ALMARAZ,1011,1981-05-01,1981-05-01,ES
1044,ALMARAZ-2,PWR,Operational,ALMARAZ,1006,1983-10-08,1983-10-08,ES
1033,ASCO-1,PWR,Operational,ASCO,995,1983-08-13,1983-08-13,ES
1027,ASCO-2,PWR,Operational,ASCO,997,1985-10-23,1985-10-23,ES
1102,COFRENTES,BWR,Operational,COFRENTES,1064,1984-10-14,1984-10-14,ES
150,JOSE CABRERA-1,PWR,Permanent Shutdown,ALMONACID DE ZORITA,141,1968-07-14,1968-07-14,ES
466,SANTA MARIA DE GARONA,BWR,Permanent Shutdown,SANTA MARIA DE GARONA,446,1971-03-02,1971-03-02,ES
1066,TRILLO-1,PWR,Operational,TRILLO,1003,1988-05-23,1988-05-23,ES
1087,VANDELLOS-2,PWR,Operational,VANDELLOS,1047,1987-12-12,1987-12-12,ES
500,VANDELLOS-1,GCR,Permanent Shutdown,VANDELLOS,480,1972-05-06,1972-05-06,ES
