Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
1363,BELLEVILLE-1,PWR,Operational,LERE,1310,1987-10-14,1987-10-14,FR
1363,BELLEVILLE-2,PWR,Operational,LERE,1310,1988-07-06,1988-07-06,FR
951,BLAYAIS-1,PWR,Operational,BRAUD ST.LOUIS,910,1981-06-12,1981-06-12,FR
951,BLAYAIS-2,PWR,Operational,BRAUD ST.LOUIS,910,1982-07-17,1982-07-17,FR
951,BLAYAIS-3,PWR,Operational,BRAUD ST.LOUIS,910,1983-08-17,1983-08-17,FR
951,BLAYAIS-4,PWR,Operational,BRAUD ST.LOUIS,910,1983-05-16,1983-05-16,FR
945,BUGEY-2,PWR,Operational,ST.VULBAS,910,1978-05-10,1978-05-10,FR
945,BUGEY-3,PWR,Operational,ST.VULBAS,910,1978-09-21,1978-09-21,FR
917,BUGEY-4,PWR,Operational,ST.VULBAS,880,1979-03-08,1979-03-08,FR
917,BUGEY-5,PWR,Operational,ST.VULBAS,880,1979-07-31,1979-07-31,FR
555,BUGEY-1,GCR,Permanent Shutdown,ST.VULBAS,540,1972-04-15,1972-04-15,FR
1362,CATTENOM-1,PWR,Operational,CATTENOM,1300,1986-11-13,1986-11-13,FR
1362,CATTENOM-2,PWR,Operational,CATTENOM,1300,1987-09-17,1987-09-17,FR
1362,CATTENOM-3,PWR,Operational,CATTENOM,1300,1990-07-06,1990-07-06,FR
1362,CATTENOM-4,PWR,Operational,CATTENOM,1300,1991-05-27,1991-05-27,FR
80,CHINON A-1,GCR,Permanent Shutdown,AVOINE,70,1963-06-14,1963-06-14,FR
230,CHINON A-2,GCR,Permanent Shutdown,AVOINE,180,1965-02-24,1965-02-24,FR
480,CHINON A-3,GCR,Permanent Shutdown,AVOINE,360,1966-08-04,1966-08-04,FR
954,CHINON B-1,PWR,Operational,AVOINE,905,1982-11-30,1982-11-30,FR
954,CHINON B-2,PWR,Operational,AVOINE,905,1983-11-29,1983-11-29,FR
954,CHINON B-3,PWR,Operational,AVOINE,905,1986-10-20,1986-10-20,FR
954,CHINON B-4,PWR,Operational,AVOINE,905,1987-11-14,1987-11-14,FR
320,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,CHOOZ,305,1967-04-03,1967-04-03,FR
1560,CHOOZ B-1,PWR,Operational,CHOOZ,1500,1996-08-30,1996-08-30,FR
1560,CHOOZ B-2,PWR,Operational,CHOOZ,1500,1997-04-10,1997-04-10,FR
1561,CIVAUX-1,PWR,Operational,CIVAUX,1495,1997-12-24,1997-12-24,FR
1561,CIVAUX-2,PWR,Operational,CIVAUX,1495,1999-12-24,1999-12-24,FR
1242,SUPER-PHENIX,FBR,Permanent Shutdown,CREYS-MALVILLE,1200,1986-01-14,1986-01-14,FR
956,CRUAS-1,PWR,Operational,CRUAS,915,1983-04-29,1983-04-29,FR
956,CRUAS-2,PWR,Operational,CRUAS,915,1984-09-06,1984-09-06,FR
956,CRUAS-3,PWR,Operational,CRUAS,915,1984-05-14,1984-05-14,FR
956,CRUAS-4,PWR,Operational,CRUAS,915,1984-10-27,1984-10-27,FR
937,DAMPIERRE-1,PWR,Operational,DAMPIERRE-EN-BURLY,890,1980-03-23,1980-03-23,FR
937,DAMPIERRE-2,PWR,Operational,DAMPIERRE-EN-BURLY,890,1980-12-10,1980-12-10,FR
937,DAMPIERRE-3,PWR,Operational,DAMPIERRE-EN-BURLY,890,1981-01-30,1981-01-30,FR
937,DAMPIERRE-4,PWR,Operational,DAMPIERRE-EN-BURLY,890,1981-08-18,1981-08-18,FR
920,FESSENHEIM-1,PWR,Permanent Shutdown,FESSENHEIM,880,1977-04-06,1977-04-06,FR
920,FESSENHEIM-2,PWR,Permanent Shutdown,FESSENHEIM,880,1977-10-07,1977-10-07,FR
1382,FLAMANVILLE-1,PWR,Operational,FLAMANVILLE,1330,1985-12-04,1985-12-04,FR
1382,FLAMANVILLE-2,PWR,Operational,FLAMANVILLE,1330,1986-07-18,1986-07-18,FR
