Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
166,BERKELEY-1,GCR,Permanent Shutdown,RIVER SEVERN,138,1962-06-12,1962-06-12,GB
166,BERKELEY-2,GCR,Permanent Shutdown,RIVER SEVERN,138,1962-06-24,1962-06-24,GB
146,BRADWELL-1,GCR,Permanent Shutdown,BLACKWATER ESTUARY,123,1962-07-01,1962-07-01,GB
146,BRADWELL-2,GCR,Permanent Shutdown,BLACKWATER ESTUARY,123,1962-07-06,1962-07-06,GB
60,CALDER HALL-1,GCR,Permanent Shutdown,SEASCALE,49,1956-08-27,1956-08-27,GB
60,CALDER HALL-2,GCR,Permanent Shutdown,SEASCALE,49,1957-02-01,1957-02-01,GB
60,CALDER HALL-3,GCR,Permanent Shutdown,SEASCALE,49,1958-03-01,1958-03-01,GB
60,CALDER HALL-4,GCR,Permanent Shutdown,SEASCALE,49,1959-04-01,1959-04-01,GB
60,CHAPELCROSS-1,GCR,Permanent Shutdown,ANNAN,48,1959-02-01,1959-02-01,GB
60,CHAPELCROSS-2,GCR,Permanent Shutdown,ANNAN,48,1959-07-01,1959-07-01,GB
60,CHAPELCROSS-3,GCR,Permanent Shutdown,ANNAN,48,1959-11-01,1959-11-01,GB
60,CHAPELCROSS-4,GCR,Permanent Shutdown,ANNAN,48,1960-01-01,1960-01-01,GB
15,DOUNREAY DFR,FBR,Permanent Shutdown,DOUNREAY CAITHNESS,11,1962-10-01,1962-10-01,GB
230,DUNGENESS A-1,GCR,Permanent Shutdown,ROMNEY MARSH,225,1965-09-21,1965-09-21,GB
230,DUNGENESS A-2,GCR,Permanent Shutdown,ROMNEY MARSH,225,1965-11-01,1965-11-01,GB
615,DUNGENESS B-1,GCR,Permanent Shutdown,Romney Marsh,545,1983-04-03,1983-04-03,GB
615,DUNGENESS B-2,GCR,Permanent Shutdown,Romney Marsh,545,1985-12-29,1985-12-29,GB
655,HARTLEPOOL A-1,GCR,Operational,HARTLEPOOL,590,1983-08-01,1983-08-01,GB
655,HARTLEPOOL A-2,GCR,Operational,HARTLEPOOL,595,1984-10-31,1984-10-31,GB
625,HEYSHAM A-1,GCR,Operational,HEYSHAM,485,1983-07-09,1983-07-09,GB
625,HEYSHAM A-2,GCR,Operational,HEYSHAM,575,1984-10-11,1984-10-11,GB
680,HEYSHAM B-1,GCR,Operational,HEYSHAM,620,1988-07-12,1988-07-12,GB
680,HEYSHAM B-2,GCR,Operational,HEYSHAM,620,1988-11-11,1988-11-11,GB
267,HINKLEY POINT A-1,GCR,Permanent Shutdown,HINKLEY POINT,235,1965-02-16,1965-02-16,GB
267,HINKLEY POINT A-2,GCR,Permanent Shutdown,HINKLEY POINT,235,1965-03-19,1965-03-19,GB
655,HINKLEY POINT B-1,GCR,Permanent Shutdown,HINKLEY,485,1976-10-30,1976-10-30,GB
655,HINKLEY POINT B-2,GCR,Permanent Shutdown,HINKLEY,480,1976-02-05,1976-02-05,GB
1720,HINKLEY POINT C-1,PWR,Under Construction,Bridgwater,1630,,NA,GB
1720,HINKLEY POINT C-2,PWR,Under Construction,Bridgwater,1630,,NA,GB
173,HUNTERSTON A-1,GCR,Permanent Shutdown,HUNTERSTON,150,1964-02-05,1964-02-05,GB
173,HUNTERSTON A-2,GCR,Permanent Shutdown,HUNTERSTON,150,1964-06-01,1964-06-01,GB
644,HUNTERSTON B-1,GCR,Permanent Shutdown,HUNTERSTON,490,1976-02-06,1976-02-06,GB
644,HUNTERSTON B-2,GCR,Permanent Shutdown,HUNTERSTON,495,1977-03-31,1977-03-31,GB
230,OLDBURY A-1,GCR,Permanent Shutdown,OLDBURY ON SEVERN,217,1967-11-07,1967-11-07,GB
230,OLDBURY A-2,GCR,Permanent Shutdown,OLDBURY ON SEVERN,217,1968-04-06,1968-04-06,GB
250,DOUNREAY PFR,FBR,Permanent Shutdown,DOUNREAY,234,1975-01-10,1975-01-10,GB
245,SIZEWELL A-1,GCR,Permanent Shutdown,SIZEWELL,210,1966-01-21,1966-01-21,GB
245,SIZEWELL A-2,GCR,Permanent Shutdown,SIZEWELL,210,1966-04-09,1966-04-09,GB
1250,SIZEWELL B,PWR,Operational,Leiston,1198,1995-02-14,1995-02-14,GB
682,TORNESS-1,GCR,Operational,DUNBAR,595,1988-05-25,1988-05-25,GB
682,TORNESS-2,GCR,Operational,DUNBAR,605,1989-02-03,1989-02-03,GB
235,TRAWSFYNYDD-1,GCR,Permanent Shutdown,MERIONETHSHIRE,195,1965-01-14,1965-01-14,GB
235,TRAWSFYNYDD-2,GCR,Permanent Shutdown,MERIONETHSHIRE,195,1965-02-02,1965-02-02,GB
36,WINDSCALE AGR,GCR,Permanent Shutdown,WINDSCALE,24,1963-02-01,1963-02-01,GB
100,WINFRITH SGHWR,SGHWR,Permanent Shutdown,DORCHESTER,92,1967-12-01,1967-12-01,GB
530,WYLFA-1,GCR,Permanent Shutdown,ANGLESEY,490,1971-01-24,1971-01-24,GB
540,WYLFA-2,GCR,Permanent Shutdown,ANGLESEY,490,1971-07-21,1971-07-21,GB
