Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
220,KAIGA-1,PHWR,Operational,KAIGA,202,2000-10-12,2000-10-12,IN
220,KAIGA-2,PHWR,Operational,KAIGA,202,1999-12-02,1999-12-02,IN
220,KAIGA-3,PHWR,Operational,KAIGA,202,2007-04-11,2007-04-11,IN
220,KAIGA-4,PHWR,Operational,KAIGA,202,2011-01-19,2011-01-19,IN
220,KAKRAPAR-2,PHWR,Operational,SURAT,202,1995-03-04,1995-03-04,IN
700,KAKRAPAR-3,PHWR,Operational,SURAT,630,2021-01-10,2021-01-10,IN
700,KAKRAPAR-4,PHWR,Under Construction,SURAT,630,,NA,IN
220,KAKRAPAR-1,PHWR,Operational,SURAT,202,1992-11-24,1992-11-24,IN
1000,KUDANKULAM-1,PWR,Operational,Tirunellveli-Kattabomman,932,2013-10-22,2013-10-22,IN
1000,KUDANKULAM-2,PWR,Operational,Tirunellveli-Kattabomman,932,2016-08-29,2016-08-29,IN
1000,KUDANKULAM-3,PWR,Under Construction,Tirunellveli-Kattabomman,917,,NA,IN
1000,KUDANKULAM-4,PWR,Under Construction,Tirunellveli-Kattabomman,917,,NA,IN
1000,KUDANKULAM-5,PWR,Under Construction,Tirunellveli-Kattabomman,917,,NA,IN
1000,KUDANKULAM-6,PWR,Under Construction,Tirunellveli-Kattabomman,917,,NA,IN
500,PFBR,FBR,Under Construction,MADRAS,470,,NA,IN
220,MADRAS-1,PHWR,Operational,MADRAS,205,1983-07-23,1983-07-23,IN
220,MADRAS-2,PHWR,Operational,MADRAS,205,1985-09-20,1985-09-20,IN
220,"NARORA-1",PHWR,Operational,"NARORA",202,1989-07-29,1989-07-29,IN
220,"NARORA-2",PHWR,Operational,"NARORA",202,1992-01-05,1992-01-05,IN
220,RAJASTHAN-3,PHWR,Operational,KOTA,202,2000-03-10,2000-03-10,IN
220,RAJASTHAN-4,PHWR,Operational,KOTA,202,2000-11-17,2000-11-17,IN
220,RAJASTHAN-5,PHWR,Operational,KOTA,202,2009-12-22,2009-12-22,IN
220,RAJASTHAN-6,PHWR,Operational,KOTA,202,2010-03-28,2010-03-28,IN
700,RAJASTHAN-7,PHWR,Under Construction,KOTA,630,,NA,IN
700,RAJASTHAN-8,PHWR,Under Construction,KOTA,630,,NA,IN
100,RAJASTHAN-1,PHWR,Long-term Shutdown,KOTA,90,1972-11-30,1972-11-30,IN
200,RAJASTHAN-2,PHWR,Operational,KOTA,187,1980-11-01,1980-11-01,IN
160,TARAPUR-1,BWR,Operational,BOISAR,150,1969-04-01,1969-04-01,IN
160,TARAPUR-2,BWR,Operational,BOISAR,150,1969-05-05,1969-05-05,IN
540,TARAPUR-3,PHWR,Operational,BOISAR,490,2006-06-15,2006-06-15,IN
540,TARAPUR-4,PHWR,Operational,BOISAR,490,2005-06-04,2005-06-04,IN
