Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
165,FUGEN ATR,HWLWR,Permanent Shutdown,TSURUGA,148,1978-07-29,1978-07-29,JP
784,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,OHKUMA-MACHI,760,1974-10-26,1974-10-26,JP
784,FUKUSHIMA-DAIICHI-4,BWR,Permanent Shutdown,OHKUMA-MACHI,760,1978-02-24,1978-02-24,JP
784,FUKUSHIMA-DAIICHI-5,BWR,Permanent Shutdown,OHKUMA-MACHI,760,1977-09-22,1977-09-22,JP
1100,FUKUSHIMA-DAIICHI-6,BWR,Permanent Shutdown,OHKUMA-MACHI,1067,1979-05-04,1979-05-04,JP
460,FUKUSHIMA-DAIICHI-1,BWR,Permanent Shutdown,OHKUMA-MACHI,439,1970-11-17,1970-11-17,JP
784,FUKUSHIMA-DAIICHI-2,BWR,Permanent Shutdown,OHKUMA-MACHI,760,1973-12-24,1973-12-24,JP
1100,FUKUSHIMA-DAINI-1,BWR,Permanent Shutdown,"NARAHA-MACHI",1067,1981-07-31,1981-07-31,JP
1100,FUKUSHIMA-DAINI-2,BWR,Permanent Shutdown,"NARAHA-MACHI",1067,1983-06-23,1983-06-23,JP
1100,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,"NARAHA-MACHI",1067,1984-12-14,1984-12-14,JP
1100,FUKUSHIMA-DAINI-4,BWR,Permanent Shutdown,"NARAHA-MACHI",1067,1986-12-17,1986-12-17,JP
559,GENKAI-1,PWR,Permanent Shutdown,GENKAI-CHO,529,1975-02-14,1975-02-14,JP
559,GENKAI-2,PWR,Permanent Shutdown,GENKAI-CHO,529,1980-06-03,1980-06-03,JP
1180,GENKAI-3,PWR,Operational,GENKAI-CHO,1127,1993-06-15,1993-06-15,JP
1180,GENKAI-4,PWR,Operational,GENKAI-CHO,1127,1996-11-12,1996-11-12,JP
540,HAMAOKA-1,BWR,Permanent Shutdown,OMAEZAKI-SHI,516,1974-08-13,1974-08-13,JP
840,HAMAOKA-2,BWR,Permanent Shutdown,OMAEZAKI-SHI,814,1978-05-04,1978-05-04,JP
1100,HAMAOKA-3,BWR,Operational,OMAEZAKI-SHI,1056,1987-01-20,1987-01-20,JP
1137,HAMAOKA-4,BWR,Operational,OMAEZAKI-SHI,1092,1993-01-27,1993-01-27,JP
1380,HAMAOKA-5,BWR,Operational,OMAEZAKI-SHI,1325,2004-04-30,2004-04-30,JP
1100,HIGASHI DORI-1 (TOHOKU),BWR,Operational,Higashidori-mura,1067,2005-03-09,2005-03-09,JP
566,IKATA-1,PWR,Permanent Shutdown,IKATA-CHO,538,1977-02-17,1977-02-17,JP
566,IKATA-2,PWR,Permanent Shutdown,IKATA-CHO,538,1981-08-19,1981-08-19,JP
890,IKATA-3,PWR,Operational,IKATA-CHO,846,1994-03-29,1994-03-29,JP
13,JPDR,BWR,Permanent Shutdown,TOKAI-MURA,12,1963-10-26,1963-10-26,JP
1100,KASHIWAZAKI KARIWA-1,BWR,Operational,KASHIWAZAKI-SHI,1067,1985-02-13,1985-02-13,JP
