Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
6,APS-1 OBNINSK,LWGR,Permanent Shutdown,OBNINSK,5,1954-06-27,1954-06-27,RU
1000,BALAKOVO-1,PWR,Operational,BALAKOVO,950,1985-12-28,1985-12-28,RU
1000,BALAKOVO-2,PWR,Operational,BALAKOVO,950,1987-10-08,1987-10-08,RU
1000,BALAKOVO-3,PWR,Operational,BALAKOVO,950,1988-12-25,1988-12-25,RU
1000,BALAKOVO-4,PWR,Operational,BALAKOVO,950,1993-04-11,1993-04-11,RU
1194,BALTIC-1,PWR,Under Construction,Neman,1109,,NA,RU
885,BELOYARSK-4,FBR,Operational,ZARECHNYY,820,2015-12-10,2015-12-10,RU
600,BELOYARSK-3,FBR,Operational,ZARECHNYY,560,1980-04-08,1980-04-08,RU
108,BELOYARSK-1,LWGR,Permanent Shutdown,ZARECHNYY,102,1964-04-26,1964-04-26,RU
160,BELOYARSK-2,LWGR,Permanent Shutdown,ZARECHNYY,146,1967-12-29,1967-12-29,RU
12,BILIBINO-1,LWGR,Permanent Shutdown,Bilibino,11,1974-01-12,1974-01-12,RU
12,BILIBINO-2,LWGR,Operational,Bilibino,11,1974-12-30,1974-12-30,RU
12,BILIBINO-3,LWGR,Operational,Bilibino,11,1975-12-22,1975-12-22,RU
12,BILIBINO-4,LWGR,Operational,Bilibino,11,1976-12-27,1976-12-27,RU
1000,KALININ-1,PWR,Operational,UDOMLYA,950,1984-05-09,1984-05-09,RU
1000,KALININ-2,PWR,Operational,UDOMLYA,950,1986-12-03,1986-12-03,RU
1000,KALININ-3,PWR,Operational,UDOMLYA,950,2004-12-16,2004-12-16,RU
1000,KALININ-4,PWR,Operational,UDOMLYA,950,2011-11-24,2011-11-24,RU
440,KOLA-1,PWR,Operational,POLYARNYYE ZORI,411,1973-06-29,1973-06-29,RU
440,KOLA-2,PWR,Operational,POLYARNYYE ZORI,411,1974-12-09,1974-12-09,RU
440,KOLA-3,PWR,Operational,POLYARNYYE ZORI,411,1981-03-24,1981-03-24,RU
440,KOLA-4,PWR,Operational,POLYARNYYE ZORI,411,1984-10-11,1984-10-11,RU
1255,KURSK 2-1,PWR,Under Construction,KURCHATOV,1175,,NA,RU
1000,KURSK-1,LWGR,Permanent Shutdown,KURCHATOV,925,1976-12-19,1976-12-19,RU
1255,KURSK 2-2,PWR,Under Construction,KURCHATOV,1175,,NA,RU
1000,KURSK-2,LWGR,Operational,KURCHATOV,925,1979-01-28,1979-01-28,RU
1000,KURSK-3,LWGR,Operational,KURCHATOV,925,1983-10-17,1983-10-17,RU
1000,KURSK-4,LWGR,Operational,KURCHATOV,925,1985-12-02,1985-12-02,RU
1000,LENINGRAD-1,LWGR,Permanent Shutdown,SOSNOVYY BOR,925,1973-12-21,1973-12-21,RU
1000,LENINGRAD-2,LWGR,Permanent Shutdown,SOSNOVYY BOR,925,1975-07-11,1975-07-11,RU
1188,LENINGRAD 2-1,PWR,Operational,SOSNOVYY BOR,1101,2018-03-09,2018-03-09,RU
1188,LENINGRAD 2-2,PWR,Operational,SOSNOVYY BOR,1101,2020-10-22,2020-10-22,RU
1000,LENINGRAD-3,LWGR,Operational,SOSNOVYY BOR,925,1979-12-07,1979-12-07,RU
1000,LENINGRAD-4,LWGR,Operational,SOSNOVYY BOR,925,1981-02-09,1981-02-09,RU
417,NOVOVORONEZH-4,PWR,Operational,NOVOVORONEZH,385,1972-12-28,1972-12-28,RU
1000,NOVOVORONEZH-5,PWR,Operational,NOVOVORONEZH,950,1980-05-31,1980-05-31,RU
210,NOVOVORONEZH-1,PWR,Permanent Shutdown,NOVOVORONEZH,197,1964-09-30,1964-09-30,RU
365,NOVOVORONEZH-2,PWR,Permanent Shutdown,NOVOVORONEZH,336,1969-12-27,1969-12-27,RU
417,NOVOVORONEZH-3,PWR,Permanent Shutdown,NOVOVORONEZH,385,1971-12-27,1971-12-27,RU
1180,NOVOVORONEZH 2-1,PWR,Operational,NOVOVORONEZH,1100,2016-08-05,2016-08-05,RU
1181,NOVOVORONEZH 2-2,PWR,Operational,NOVOVORONEZH,1101,2019-05-01,2019-05-01,RU
35,AKADEMIK LOMONOSOV-1,PWR,Operational,PEVEK,32,2019-12-19,2019-12-19,RU
35,AKADEMIK LOMONOSOV-2,PWR,Operational,PEVEK,32,2019-12-19,2019-12-19,RU
320,BREST-OD-300,FBR,Under Construction,SEVERSK,300,,NA,RU
1000,SMOLENSK-1,LWGR,Operational,DESNOGORSK,925,1982-12-09,1982-12-09,RU
1000,SMOLENSK-2,LWGR,Operational,DESNOGORSK,925,1985-05-31,1985-05-31,RU
1000,SMOLENSK-3,LWGR,Operational,DESNOGORSK,925,1990-01-17,1990-01-17,RU
1041,ROSTOV-1,PWR,Operational,VOLGODONSK,989,2001-03-30,2001-03-30,RU
1000,ROSTOV-2,PWR,Operational,VOLGODONSK,950,2010-03-18,2010-03-18,RU
1000,ROSTOV-3,PWR,Operational,VOLGODONSK,950,2014-12-27,2014-12-27,RU
1030,ROSTOV-4,PWR,Operational,VOLGODONSK,979,2018-02-02,2018-02-02,RU
