Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
12,AGESTA,PHWR,Permanent Shutdown,AGESTA,10,1964-05-01,1964-05-01,SE
615,BARSEBACK-1,BWR,Permanent Shutdown,BARSEBACK,600,1975-05-15,1975-05-15,SE
615,BARSEBACK-2,BWR,Permanent Shutdown,BARSEBACK,600,1977-03-21,1977-03-21,SE
1157,FORSMARK-2,BWR,Operational,OESTHAMMAR,1121,1981-01-26,1981-01-26,SE
1195,FORSMARK-3,BWR,Operational,OESTHAMMAR,1172,1985-03-05,1985-03-05,SE
1027,FORSMARK-1,BWR,Operational,OESTHAMMAR,990,1980-06-06,1980-06-06,SE
1450,OSKARSHAMN-3,BWR,Operational,OSKARSHAMN,1400,1985-03-03,1985-03-03,SE
492,OSKARSHAMN-1,BWR,Permanent Shutdown,OSKARSHAMN,473,1971-08-19,1971-08-19,SE
661,OSKARSHAMN-2,BWR,Permanent Shutdown,OSKARSHAMN,638,1974-10-02,1974-10-02,SE
1171,RINGHALS-4,PWR,Operational,RINGHALS,1130,1982-06-23,1982-06-23,SE
910,RINGHALS-1,BWR,Permanent Shutdown,RINGHALS,881,1974-10-14,1974-10-14,SE
963,RINGHALS-2,PWR,Permanent Shutdown,RINGHALS,852,1974-08-17,1974-08-17,SE
1117,RINGHALS-3,PWR,Operational,RINGHALS,1072,1980-09-07,1980-09-07,SE
