Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
800,CHERNOBYL-1,LWGR,Permanent Shutdown,PRIPYAT,740,1977-09-26,1977-09-26,UA
1000,CHERNOBYL-2,LWGR,Permanent Shutdown,PRIPYAT,925,1978-12-21,1978-12-21,UA
1000,CHERNOBYL-3,LWGR,Permanent Shutdown,PRIPYAT,925,1981-12-03,1981-12-03,UA
1000,CHERNOBYL-4,LWGR,Permanent Shutdown,PRIPYAT,925,1983-12-22,1983-12-22,UA
1000,KHMELNITSKI-1,PWR,Operational,NETESHIN,950,1987-12-31,1987-12-31,UA
1000,KHMELNITSKI-2,PWR,Operational,NETESHIN,950,2004-08-07,2004-08-07,UA
1089,KHMELNITSKI-3,PWR,Under Construction,NETESHIN,1035,,NA,UA
1089,KHMELNITSKI-4,PWR,Under Construction,NETESHIN,1035,,NA,UA
420,ROVNO-1,PWR,Operational,VARASH,381,1980-12-22,1980-12-22,UA
415,ROVNO-2,PWR,Operational,VARASH,376,1981-12-22,1981-12-22,UA
1000,ROVNO-3,PWR,Operational,VARASH,950,1986-12-21,1986-12-21,UA
1000,ROVNO-4,PWR,Operational,VARASH,950,2004-10-10,2004-10-10,UA
1000,SOUTH UKRAINE-1,PWR,Operational,NIKOLAYEV OBLAST,950,1982-12-31,1982-12-31,UA
1000,SOUTH UKRAINE-2,PWR,Operational,NIKOLAYEV OBLAST,950,1985-01-06,1985-01-06,UA
1000,SOUTH UKRAINE-3,PWR,Operational,NIKOLAYEV OBLAST,950,1989-09-20,1989-09-20,UA
1000,ZAPOROZHYE-5,PWR,Operational,ENERGODAR,950,1989-08-14,1989-08-14,UA
1000,ZAPOROZHYE-6,PWR,Operational,ENERGODAR,950,1995-10-19,1995-10-19,UA
1000,ZAPOROZHYE-1,PWR,Operational,ENERGODAR,950,1984-12-10,1984-12-10,UA
1000,ZAPOROZHYE-2,PWR,Operational,ENERGODAR,950,1985-07-22,1985-07-22,UA
1000,ZAPOROZHYE-3,PWR,Operational,ENERGODAR,950,1986-12-10,1986-12-10,UA
1000,ZAPOROZHYE-4,PWR,Operational,ENERGODAR,950,1987-12-18,1987-12-18,UA
