Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country,Start,StartCon,Dur
165,FUGEN ATR,HWLWR,Permanent Shutdown,TSURUGA,148,1978-07-29,1978-07-29,JP,10 May 1972,1972-05-10,6.22191780821918
784,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,OHKUMA-MACHI,760,1974-10-26,1974-10-26,JP,28 December 1970,1970-12-28,3.83013698630137
784,FUKUSHIMA-DAIICHI-4,BWR,Permanent Shutdown,OHKUMA-MACHI,760,1978-02-24,1978-02-24,JP,12 February 1973,1973-02-12,5.03561643835616
784,FUKUSHIMA-DAIICHI-5,BWR,Permanent Shutdown,OHKUMA-MACHI,760,1977-09-22,1977-09-22,JP,22 May 1972,1972-05-22,5.33972602739726
1100,FUKUSHIMA-DAIICHI-6,BWR,Permanent Shutdown,OHKUMA-MACHI,1067,1979-05-04,1979-05-04,JP,26 October 1973,1973-10-26,5.52328767123288
460,FUKUSHIMA-DAIICHI-1,BWR,Permanent Shutdown,OHKUMA-MACHI,439,1970-11-17,1970-11-17,JP,25 July 1967,1967-07-25,3.31780821917808
784,FUKUSHIMA-DAIICHI-2,BWR,Permanent Shutdown,OHKUMA-MACHI,760,1973-12-24,1973-12-24,JP,9 June 1969,1969-06-09,4.54520547945206
1100,FUKUSHIMA-DAINI-1,BWR,Permanent Shutdown,NARAHA-MACHI,1067,1981-07-31,1981-07-31,JP,16 March 1976,1976-03-16,5.37808219178082
1100,FUKUSHIMA-DAINI-2,BWR,Permanent Shutdown,NARAHA-MACHI,1067,1983-06-23,1983-06-23,JP,25 May 1979,1979-05-25,4.08219178082192
1100,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,NARAHA-MACHI,1067,1984-12-14,1984-12-14,JP,23 March 1981,1981-03-23,3.73150684931507
1100,FUKUSHIMA-DAINI-4,BWR,Permanent Shutdown,NARAHA-MACHI,1067,1986-12-17,1986-12-17,JP,28 May 1981,1981-05-28,5.55890410958904
559,GENKAI-1,PWR,Permanent Shutdown,GENKAI-CHO,529,1975-02-14,1975-02-14,JP,15 September 1971,1971-09-15,3.41917808219178
559,GENKAI-2,PWR,Permanent Shutdown,GENKAI-CHO,529,1980-06-03,1980-06-03,JP,1 February 1977,1977-02-01,3.33698630136986
1180,GENKAI-3,PWR,Operational,GENKAI-CHO,1127,1993-06-15,1993-06-15,JP,1 June 1988,1988-06-01,5.04109589041096
1180,GENKAI-4,PWR,Operational,GENKAI-CHO,1127,1996-11-12,1996-11-12,JP,15 July 1992,1992-07-15,4.33150684931507
540,HAMAOKA-1,BWR,Permanent Shutdown,OMAEZAKI-SHI,516,1974-08-13,1974-08-13,JP,10 June 1971,1971-06-10,3.17808219178082
840,HAMAOKA-2,BWR,Permanent Shutdown,OMAEZAKI-SHI,814,1978-05-04,1978-05-04,JP,14 June 1974,1974-06-14,3.89041095890411
1100,HAMAOKA-3,BWR,Operational,OMAEZAKI-SHI,1056,1987-01-20,1987-01-20,JP,18 April 1983,1983-04-18,3.76164383561644
1137,HAMAOKA-4,BWR,Operational,OMAEZAKI-SHI,1092,1993-01-27,1993-01-27,JP,13 October 1989,1989-10-13,3.29315068493151
1380,HAMAOKA-5,BWR,Operational,OMAEZAKI-SHI,1325,2004-04-30,2004-04-30,JP,12 July 2000,2000-07-12,3.8027397260274
1100,HIGASHI DORI-1 (TOHOKU),BWR,Operational,Higashidori-mura,1067,2005-03-09,2005-03-09,JP,7 November 2000,2000-11-07,4.33698630136986
566,IKATA-1,PWR,Permanent Shutdown,IKATA-CHO,538,1977-02-17,1977-02-17,JP,1 September 1973,1973-09-01,3.46575342465753
566,IKATA-2,PWR,Permanent Shutdown,IKATA-CHO,538,1981-08-19,1981-08-19,JP,1 August 1978,1978-08-01,3.05205479452055
890,IKATA-3,PWR,Operational,IKATA-CHO,846,1994-03-29,1994-03-29,JP,1 October 1990,1990-10-01,3.49315068493151
13,JPDR,BWR,Permanent Shutdown,TOKAI-MURA,12,1963-10-26,1963-10-26,JP,1 December 1960,1960-12-01,2.9013698630137
1100,KASHIWAZAKI KARIWA-1,BWR,Operational,KASHIWAZAKI-SHI,1067,1985-02-13,1985-02-13,JP,5 June 1980,1980-06-05,4.6958904109589
1100,KASHIWAZAKI KARIWA-2,BWR,Operational,KASHIWAZAKI-SHI,1067,1990-02-08,1990-02-08,JP,18 November 1985,1985-11-18,4.22739726027397
1100,KASHIWAZAKI KARIWA-5,BWR,Operational,KASHIWAZAKI-SHI,1067,1989-09-12,1989-09-12,JP,20 June 1985,1985-06-20,4.23287671232877
