State,Coal,Gas,Hydro,Nuclear,Solar,Wind,Fossil fuels,Renewables,Low-carbon
Alabama,14,44,6.04,33,1,0,58,9.19,42
Alaska,11,47,26.33,0,0,2,71,28.83,29
Arizona,10,45,5.20,27,11,1,56,17.41,44
Arkansas,26,42,5.24,24,2,0,68,8.24,32
California,0,38,13.04,7,28,6,39,53.82,61
Colorado,32,29,2.74,0,9,27,61,39.14,39
Connecticut,0,60,1.12,33,4,0,61,6.51,39
Delaware,-0,88,0.00,0,7,0,92,8.35,8
Florida,4,75,0.09,11,7,0,80,8.18,20
Georgia,13,46,1.70,29,6,0,59,11.76,41
Hawaii,0,0,0.87,0,19,6,68,31.61,32
Idaho,0,31,46.29,0,6,13,32,68.18,68
Illinois,15,16,0.05,54,2,12,31,14.27,69
Indiana,45,39,0.51,0,2,10,87,13.06,13
Iowa,23,15,1.35,0,1,59,38,62.02,62
Kansas,28,7,0.02,18,0,47,35,47.04,65
Kentucky,69,24,6.24,0,0,0,93,7.35,7
Louisiana,5,77,0.73,13,1,0,84,3.48,16
Maine,0,30,29.14,0,9,18,33,66.84,67
Maryland,5,41,4.95,40,6,1,47,13.32,53
Massachusetts,0,63,3.35,0,24,1,67,32.57,33
Michigan,20,45,0.49,23,1,7,66,10.44,34
Minnesota,22,24,1.30,21,4,25,47,32.53,53
Mississippi,6,76,0.00,16,1,0,81,2.74,19
Missouri,60,14,1.09,14,1,10,74,12.58,26
Montana,44,4,33.19,0,1,17,48,51.68,52
Nebraska,45,4,2.89,18,0,30,49,33.48,51
Nevada,5,56,3.01,0,26,1,61,39.22,39
New Hampshire,1,25,9.30,56,2,2,26,18.02,74
New Jersey,0,49,-0.23,42,7,0,50,7.79,50
New Mexico,18,36,0.27,0,8,37,54,46.01,46
New York,0,46,21.92,22,5,4,47,31.79,53
North Carolina,11,41,3.32,33,10,0,52,14.75,48
North Dakota,54,7,5.04,0,0,34,61,39.46,39
Ohio,24,59,0.38,12,1,2,84,4.11,16
Oklahoma,6,51,1.60,0,0,41,56,43.61,44
Oregon,0,38,42.30,0,4,14,38,62.39,62
Pennsylvania,5,59,0.79,32,1,1,65,3.41,35
Puerto Rico,15,44,0.22,0,1,1,98,2.31,2
Rhode Island,0,87,0.07,0,9,2,87,13.19,13
South Carolina,15,23,1.72,55,3,0,38,6.74,62
South Dakota,9,12,24.63,0,0,54,21,78.78,79
Tennessee,20,19,9.62,49,1,0,40,11.56,60
Texas,13,51,0.14,7,6,22,65,27.97,35
Utah,45,34,2.24,0,14,2,80,19.88,20
Vermont,0,0,56.61,0,16,12,0,99.76,100
Virginia,2,55,-0.07,32,7,0,57,10.34,43
Washington,4,19,59.37,8,1,7,23,68.75,77
Washington D.C.,0,20,0.00,0,53,0,20,79.54,80
West Virginia,86,7,2.92,0,0,4,93,7.02,7
Wisconsin,34,41,3.07,15,2,3,75,10.03,25
Wyoming,71,5,2.12,0,0,20,77,22.58,23
